grupo_slug,grupo_nombre,eje,valor
afakot,Afakot,medio,Radio Con Vos
albavision-argentina,Albavisión (Argentina),medio,El Nueve
albavision-argentina,Albavisión (Argentina),medio,Radio Continental
cadena-3,Cadena 3,medio,Cadena 3
el-destape,El Destape,medio,Eldestapeweb.com
sistema-federal-de-medios-y-contenidos-publicos,Sistema Federal de Medios y Contenidos Públicos,medio,Radio Nacional
sistema-federal-de-medios-y-contenidos-publicos,Sistema Federal de Medios y Contenidos Públicos,medio,Telam.com.ar
sistema-federal-de-medios-y-contenidos-publicos,Sistema Federal de Medios y Contenidos Públicos,medio,Televisión Pública Argentina
grupo-america,Grupo América,medio,A24
grupo-america,Grupo América,medio,América TV
grupo-america,Grupo América,medio,La Capital (Rosario)
grupo-america,Grupo América,medio,Radio La Red
grupo-america,Grupo América,medio,Radio Nihuil
grupo-clarin,Grupo Clarín,medio,Canal 13
grupo-clarin,Grupo Clarín,medio,Cienradios.com.ar
grupo-clarin,Grupo Clarín,medio,Clarín
grupo-clarin,Grupo Clarín,medio,Clarín.com
grupo-clarin,Grupo Clarín,medio,El Doce (Córdoba)
grupo-clarin,Grupo Clarín,medio,La 100
grupo-clarin,Grupo Clarín,medio,La Voz del Interior
grupo-clarin,Grupo Clarín,medio,Lavoz.com.ar
grupo-clarin,Grupo Clarín,medio,Los Andes
grupo-clarin,Grupo Clarín,medio,Radio Mitre
grupo-clarin,Grupo Clarín,medio,TN
grupo-clarin,Grupo Clarín,medio,TN.com.ar
grupo-electroingenieria,Grupo Electroingeniería,medio,Radio Del Plata
grupo-fascetto,Grupo Fascetto,medio,Diario Popular
grupo-indalo,Grupo Indalo,medio,Ámbito.com
grupo-indalo,Grupo Indalo,medio,C5N
grupo-indalo,Grupo Indalo,medio,Minutouno.com
grupo-indalo,Grupo Indalo,medio,Pop Radio
grupo-indalo,Grupo Indalo,medio,Radio 10
grupo-infobae,Grupo Infobae,medio,Infobae.com
grupo-la-nacion,Grupo La Nación,medio,La Nación
grupo-la-nacion,Grupo La Nación,medio,Lanacion.com.ar
grupo-moneta,Grupo Moneta,medio,FM Metro
grupo-octubre,Grupo Octubre,medio,AM 750
grupo-octubre,Grupo Octubre,medio,Página 12
grupo-octubre,Grupo Octubre,medio,Pagina12.com.ar
grupo-olmos,Grupo Olmos,medio,Crónica TV
grupo-olmos,Grupo Olmos,medio,Crónica.com.ar
grupo-perfil,Grupo Perfil,medio,Perfil
grupo-telecentro,Grupo Telecentro,medio,Canal 26
grupo-television-litoral,Grupo Televisión Litoral,medio,Canal 3 (Rosario)
grupo-television-litoral,Grupo Televisión Litoral,medio,Radio Dos
kuarzo-entertainment,Kuarzo Entertainment,medio,Radio Con Vos
la-gaceta-de-tucuman,La Gaceta de Tucumán,medio,La Gaceta de Tucumán
la-gaceta-de-tucuman,La Gaceta de Tucumán,medio,Lagaceta.com.ar
tiempo-argentino,Tiempo Argentino,medio,Tiempo Argentino - dueños de nuestras palabras
tiempo-argentino,Tiempo Argentino,medio,Tiempoar.com.ar
viacom-argentina,Viacom (Argentina),medio,Telefe
viacom-argentina,Viacom (Argentina),medio,Telefe Córdoba
viacom-argentina,Viacom (Argentina),medio,Telefe Rosario
