anio,mes,variacion_pct,fuente
2002,1,2.3,INDEC
2002,2,3.1,INDEC
2002,3,4.0,INDEC
2002,4,10.4,INDEC
2002,5,4.0,INDEC
2002,6,3.6,INDEC
2002,7,3.2,INDEC
2002,8,2.3,INDEC
2002,9,1.4,INDEC
2002,10,0.2,INDEC
2002,11,0.5,INDEC
2002,12,0.2,INDEC
2003,1,1.3,INDEC
2003,2,0.6,INDEC
2003,3,0.6,INDEC
2003,4,0.1,INDEC
2003,5,-0.4,INDEC
2003,6,-0.1,INDEC
2003,7,0.4,INDEC
2003,8,0.0,INDEC
2003,9,0.0,INDEC
2003,10,0.6,INDEC
2003,11,0.2,INDEC
2003,12,0.2,INDEC
2004,1,0.4,INDEC
2004,2,0.1,INDEC
2004,3,0.6,INDEC
2004,4,0.9,INDEC
2004,5,0.7,INDEC
2004,6,0.6,INDEC
2004,7,0.5,INDEC
2004,8,0.3,INDEC
2004,9,0.6,INDEC
2004,10,0.4,INDEC
2004,11,0.0,INDEC
2004,12,0.8,INDEC
2005,1,1.5,INDEC
2005,2,0.9,INDEC
2005,3,1.5,INDEC
2005,4,0.5,INDEC
2005,5,0.6,INDEC
2005,6,0.9,INDEC
2005,7,1.0,INDEC
2005,8,0.4,INDEC
2005,9,1.2,INDEC
2005,10,0.8,INDEC
2005,11,1.2,INDEC
2005,12,1.1,INDEC
2006,1,1.3,INDEC
2006,2,0.4,INDEC
2006,3,1.2,INDEC
2006,4,1.0,INDEC
2006,5,0.5,INDEC
2006,6,0.5,INDEC
2006,7,0.6,INDEC
2006,8,0.6,INDEC
2006,9,0.9,INDEC
2006,10,0.9,INDEC
2006,11,0.7,INDEC
2006,12,1.0,INDEC
2007,1,1.5027,Eco Go
2007,2,1.5027,Eco Go
2007,3,1.5027,Eco Go
2007,4,1.5027,Eco Go
2007,5,1.5027,Eco Go
2007,6,1.5027,Eco Go
2007,7,1.5027,Eco Go
2007,8,1.5027,Eco Go
2007,9,1.5027,Eco Go
2007,10,1.5027,Eco Go
2007,11,1.5027,Eco Go
2007,12,1.5027,Eco Go
2008,1,1.4602,Eco Go
2008,2,1.4602,Eco Go
2008,3,1.4602,Eco Go
2008,4,1.4602,Eco Go
2008,5,1.4602,Eco Go
2008,6,1.4602,Eco Go
2008,7,1.4602,Eco Go
2008,8,1.4602,Eco Go
2008,9,1.4602,Eco Go
2008,10,1.4602,Eco Go
2008,11,1.4602,Eco Go
2008,12,1.4602,Eco Go
2009,1,1.2081,Eco Go
2009,2,1.2081,Eco Go
2009,3,1.2081,Eco Go
2009,4,1.2081,Eco Go
2009,5,1.2081,Eco Go
2009,6,1.2081,Eco Go
2009,7,1.2081,Eco Go
2009,8,1.2081,Eco Go
2009,9,1.2081,Eco Go
2009,10,1.2081,Eco Go
2009,11,1.2081,Eco Go
2009,12,1.2081,Eco Go
2010,1,1.7332,Eco Go
2010,2,1.7332,Eco Go
2010,3,1.7332,Eco Go
2010,4,1.7332,Eco Go
2010,5,1.7332,Eco Go
2010,6,1.7332,Eco Go
2010,7,1.7332,Eco Go
2010,8,1.7332,Eco Go
2010,9,1.7332,Eco Go
2010,10,1.7332,Eco Go
2010,11,1.7332,Eco Go
2010,12,1.7332,Eco Go
2011,1,1.6012,Eco Go
2011,2,1.6012,Eco Go
2011,3,1.6012,Eco Go
2011,4,1.6012,Eco Go
2011,5,1.6012,Eco Go
2011,6,1.6012,Eco Go
2011,7,1.6012,Eco Go
2011,8,1.6012,Eco Go
2011,9,1.6012,Eco Go
2011,10,1.6012,Eco Go
2011,11,1.6012,Eco Go
2011,12,1.6012,Eco Go
2012,1,1.8019,Eco Go
2012,2,1.8019,Eco Go
2012,3,1.8019,Eco Go
2012,4,1.8019,Eco Go
2012,5,1.8019,Eco Go
2012,6,1.8019,Eco Go
2012,7,1.8019,Eco Go
2012,8,1.8019,Eco Go
2012,9,1.8019,Eco Go
2012,10,1.8019,Eco Go
2012,11,1.8019,Eco Go
2012,12,1.8019,Eco Go
2013,1,1.9041,Eco Go
2013,2,1.9041,Eco Go
2013,3,1.9041,Eco Go
2013,4,1.9041,Eco Go
2013,5,1.9041,Eco Go
2013,6,1.9041,Eco Go
2013,7,1.9041,Eco Go
2013,8,1.9041,Eco Go
2013,9,1.9041,Eco Go
2013,10,1.9041,Eco Go
2013,11,1.9041,Eco Go
2013,12,1.9041,Eco Go
